ImageId,Lat,Long,Confidence,Quality,Feature
203464401368483,77.578869173376,12.968345889834,0.816538274288,1,Sidewalk
488320252357772,77.590888055556,12.986234722222,0.721954882145,0.96878612716763,Recreation
535753364100697,77.592353936156,12.986130520742,0.801741719246,0.78061330561331,Sidewalk
288186542982212,77.588647349037,12.967881953495,0.877586066723,0.795,Temple
217266636870293,77.591865398062,12.978808181372,0.875007331371,0.80962772785623,Temple
283970153373666,77.622428,12.98466,0.803106844425,0.66979166666667,Sidewalk
817399668866294,77.576508410347,12.97149111518,0.876841127872,1,Temple
299770441751658,77.580485288126,12.971453312796,0.878262877464,0.79519084278572,Temple
776395656414312,77.6038675,12.9763055,0.762978792191,0.653838838011,Sidewalk
776395656414312,77.6038675,12.9763055,0.790036380291,0.653838838011,Fence
369685034379222,77.607613,12.97436,0.809049546719,0.96666666666667,Sidewalk
454261289164846,77.614130750371,12.973758000893,0.815788269043,0.90566037735849,Fence
577990379762513,77.576760873271,12.971915658575,0.810245275497,0.86363636363636,Sidewalk
577990379762513,77.576760873271,12.971915658575,0.879163146019,0.86363636363636,Temple
975313159888782,77.575955288557,12.970334538271,0.786670744419,0.96878612716763,Sidewalk
975313159888782,77.575955288557,12.970334538271,0.874661684036,0.96878612716763,Temple
794983094472435,77.593278212011,12.980405235456,0.800382018089,0.94545454545455,Fence
337034887756392,77.61837853126,12.972737965186,0.819191455841,0.7969696969697,Sidewalk
337034887756392,77.61837853126,12.972737965186,0.87156778574,0.7969696969697,Temple
147995943945625,77.5916506,12.9701512,0.826735258102,0.982,Sidewalk
757931334907787,77.614013,12.973929,0.87642711401,0.96878612716763,Fence
336360131195575,77.601809263152,12.976681988498,0.837322294712,0.32988651761518,Fence
884034338819746,77.569668866587,12.958017208626,0.782881319523,0.8780487804878,Sidewalk
474236877146720,77.579453224389,12.969248620805,0.884052932262,0.8448275862069,Temple
176869950981927,77.579220878033,12.969044898649,0.876733601093,0.8780487804878,Temple
470321277369350,77.6058804,12.9758018,0.781996846199,0.83242249080399,Sidewalk
510649173408381,77.580161495207,12.97085224652,0.872588455677,1,Temple
748305132485123,77.580551421342,12.971531599772,0.882876038551,0.58690114312056,Temple
242281154342652,77.588320532545,12.974537324831,0.795647025108,1,Sidewalk
242281154342652,77.588320532545,12.974537324831,0.769641697407,1,Fence
506094663762235,77.611726149989,12.974295658071,0.872097373009,0.52459016393443,Fence
485006742774621,77.6034664,12.9764237,0.827508747578,1,Sidewalk
485006742774621,77.6034664,12.9764237,0.842341423035,1,Fence
455799395522106,77.620218,12.97347,0.790754258633,0.982,Sidewalk
788579142034310,77.591365806139,12.986558688119,0.81099408865,0.53028038004119,Sidewalk
536832797691558,77.610424019694,12.971150772392,0.778695344925,0.16452476353127,Sidewalk
882295232324509,77.578299958331,12.974141305325,0.782053649426,0.95,Sidewalk
221681696020615,77.609115354789,12.974904938613,0.85361123085,0.66979166666667,Fence
154707886512639,77.60866859935,12.975027523947,0.869991004467,0.75766590389016,Fence
500420624327280,77.599804,12.973213,0.787118554115,0.52459016393443,Sidewalk
303875564513858,77.5804786,12.97312604,0.874094307423,0.34715565324258,Temple
292763235636599,77.596391158796,12.97459926427,0.780959308147,1,Sidewalk
523322398666846,77.580231651736,12.970966910955,0.878338873386,1,Temple
205353244501619,77.610645,12.972218,0.810360789299,0.82608695652174,Sidewalk
903477103827019,77.618650272561,12.972715417867,0.78514122963,0.94577114427861,Sidewalk
224547286140069,77.600080836637,12.967736274016,0.819324910641,0.53872180451128,Sidewalk
882406372338957,77.612306224088,12.969527867151,0.78758585453,0.92824558662709,Sidewalk
259238035984227,77.593073338272,12.985304003292,0.775230884552,0.39271414484704,Sidewalk
822570408694820,77.615714757216,12.973490291707,0.760137617588,0.9280701754386,Sidewalk
476910136694137,77.5901518,12.9677425,0.82550662756,0.73580917874396,Sidewalk
308952167610322,77.595835151223,12.985841645871,0.812168180943,0.985,Sidewalk
761573938062370,77.576016308812,12.969555188914,0.867315590382,1,Temple
567952180842395,77.595626977887,12.981569180652,0.786260187626,0.66359656603559,Sidewalk
973166190098268,77.580747138781,12.973098764208,0.794337630272,0.93157894736842,Fence
144198874349749,77.580231651736,12.970966910955,0.877942323685,0.72761051654816,Temple
471571334071670,77.606601220656,12.971663977158,0.808042407036,0.67191112716763,Sidewalk
302195227938971,77.599520590229,12.970625180763,0.797916471958,1,Sidewalk
155449163255379,77.5925165043,12.979735932325,0.760164618492,0.75,Recreation
298695168410657,77.580404821856,12.971369619493,0.86996781826,0.91323057161207,Temple
371772307569388,77.614763055556,12.990081388889,0.785786747932,0.37263719512195,Sidewalk
858884464695013,77.598683055556,12.976763055556,0.873981714249,0.79275362318841,Temple
416273416280447,77.573508055556,12.959688055556,0.880347490311,0.90878612716763,Temple
132054665524376,77.601013,12.976372,0.778378367424,0.35153353503004,Sidewalk
474739377116267,77.576073808668,12.969535198075,0.879766285419,0.78927203065134,Temple
473710307385249,77.59127141262,12.977044651587,0.868416011333,0.65799755799756,Temple
324118779079008,77.579453224389,12.969248620805,0.876807510853,0.78125,Temple
788081885186121,77.614728644226,12.970869742858,0.806634962559,1,Sidewalk
463912231348747,77.6026426,12.9765896,0.76518112421,0.46868131868132,Sidewalk
466372851116855,77.6050298,12.9760086,0.823789894581,0.8448275862069,Sidewalk
466372851116855,77.6050298,12.9760086,0.846019089222,0.8448275862069,Fence
322288359258162,77.620875558042,12.987450978322,0.821693778038,0.703125,Sidewalk
493807162065771,77.622690106455,12.982504518868,0.791475713253,0.91323057161207,Sidewalk
