wde de LN FOR WOMEK, SPA BRDAL STUDIO, ACADEMY
 0.0 bounds: (786,117),(1002,117),(1002,190),(786,190)
wde 0.0 bounds: (786,179),(809,172),(812,184),(789,191)
de 0.0 bounds: (811,172),(830,166),(833,177),(814,183)
LN 0.0 bounds: (859,158),(873,154),(876,164),(862,169)
FOR 0.0 bounds: (876,153),(884,151),(887,162),(879,165)
WOMEK, 0.0 bounds: (886,150),(905,144),(909,156),(889,162)
SPA 0.0 bounds: (907,145),(919,142),(922,153),(910,157)
BRDAL 0.0 bounds: (920,140),(942,134),(945,145),(923,152)
STUDIO, 0.0 bounds: (943,133),(968,126),(971,137),(946,145)
ACADEMY 0.0 bounds: (970,126),(999,118),(1002,128),(973,137)
